bank_name,bank_country,bank_wiki_url,bank_desc
Monetary Authority of Singapore,Singapore,http://en.wikipedia.org/wiki/Monetary_Authority_of_Singapore,
The Reserve Bank of New Zealand,New Zealand,http://en.wikipedia.org/wiki/Reserve_Bank_of_New_Zealand,
National Bank of the Republic of Belarus,Belarus,http://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Belarus,
Bank of the Republic of Burundi,Burundi,http://en.wikipedia.org/wiki/Bank_of_the_Republic_of_Burundi,
,China,,
,Cuba,,
,Indonesia,,
,Iran,,
,South Korea,,
,North Korea,,
,Laos,,
,Macedonia,,
,Thailand,,
,Nicaragua,,
,Nepal,,
