currency_country,currency_iso_4217_code,currency_symbol,currency_unit_name,currency_is_subunit,currency_wiki_url,currency_desc
Singapore,SGD,S$,Singapore Dollar,FALSE,http://en.wikipedia.org/wiki/SGD,
Singapore,SGD,cen,Singapore cent,TRUE,http://en.wikipedia.org/wiki/SGD,
New Zealand,NZP,,New Zealand Pound,FALSE,http://en.wikipedia.org/wiki/NZP,
New Zealand,NZP,s,New Zealand shilling,TRUE,http://en.wikipedia.org/wiki/NZP,
New Zealand,NZP,d,New Zealand penny,TRUE,http://en.wikipedia.org/wiki/NZP,
Belarus,BYR,Br,Belarusian ruble,TRUE,http://en.wikipedia.org/wiki/Belarusian_ruble,
Burundi,,,,,http://en.wikipedia.org/wiki/Burundian_franc,
China,,,,,http://en.wikipedia.org/wiki/Chinese_currency,
Cuba,,,,,http://en.wikipedia.org/wiki/Cuban_peso,
Indonesia,,,,,http://en.wikipedia.org/wiki/Indonesian_Currency,
Iran,,,,,http://en.wikipedia.org/wiki/Iran_Currency,
South Korea,,,,,http://en.wikipedia.org/wiki/South_Korean_won,
North Korea,,,,,http://en.wikipedia.org/wiki/North_Korean_won,
Laos,,,,,http://en.wikipedia.org/wiki/Lao_kip,
Macedonia,,,,,http://en.wikipedia.org/wiki/Macedonian_denar,
Thailand,,,,,http://en.wikipedia.org/wiki/Thai_baht,
Nicaragua,,,,,http://en.wikipedia.org/wiki/Nicaraguan_peso,
Nepal,,,,,http://en.wikipedia.org/wiki/Nepali_currency,
